instructor_name,instructor_website,twitter,linkedin,facebook,youtube,instructor_url
Dr. Angela Yu,https://www.appbrewery.co,https://twitter.com/yu_angela,https://linkedin.com/in/angela-yu-963a584b/,N/A,N/A,https://www.udemy.com/user/4b4368a3-b5c8-4529-aa65-2056ec31f37e/
Jose Portilla,https://www.pieriantraining.com,https://twitter.com/JoseMPortilla,https://linkedin.com/in/jmportilla,N/A,N/A,https://www.udemy.com/user/joseportilla/
Andrei Neagoie,https://zerotomastery.io,N/A,N/A,N/A,N/A,https://www.udemy.com/user/andrei-neagoie/
Jose Salvatierra,https://teclado.com,https://twitter.com/tecladocode,N/A,https://www.facebook.com/tecladocode,https://www.youtube.com/tecladocode,https://www.udemy.com/user/josesalvatierra/
Jose Salvatierra,https://teclado.com,https://twitter.com/tecladocode,N/A,https://www.facebook.com/tecladocode,https://www.youtube.com/tecladocode,https://www.udemy.com/user/josesalvatierra/
Ardit Sulce,http://pythonhow.com,N/A,https://linkedin.com/in/arditsulce,N/A,N/A,https://www.udemy.com/user/adiune/
Abdul Bari,N/A,N/A,https://linkedin.com/in/abdul-bari-mohammed-5a328717/,https://www.facebook.com/mohammed.bari1,https://www.youtube.com/channel/UCZCFT11CWBi3MHNlGf019nw,https://www.udemy.com/user/mohammed-abdul-bari-2/
Green Chameleon Learning,N/A,N/A,N/A,N/A,N/A,https://www.udemy.com/user/aaron-mirador/
Muhammad Atif,N/A,N/A,N/A,N/A,N/A,https://www.udemy.com/user/muhammad-atif-4672/
"Dr. Ismail Durgut BSc Hons, PhD",N/A,https://twitter.com/https://www.linkedin.com/in/ismaildurgut/,https://linkedin.com/ismaildurgut,N/A,N/A,https://www.udemy.com/user/dr-ismail-durgut/
Maven Analytics,https://www.mavenanalytics.io,https://twitter.com/mavenbi,https://linkedin.com/company/maven-analytics,https://www.facebook.com/mavenanalytics,https://www.youtube.com/c/MavenAnalytics,https://www.udemy.com/user/maven-analytics/
Start-Tech Trainings,N/A,https://twitter.com/StartTechAcade1,https://linkedin.com/company/start-tech-academy,https://www.facebook.com/StartTechAcademy,https://www.youtube.com/channel/UCOMpD-7invmY9rb3-WoXtpA,https://www.udemy.com/user/start-tech-academy-2/
"MTF Institute of Management, Technology and Finance",https://gtf.pt,N/A,https://linkedin.com/school/mtfinstitute/,https://www.facebook.com/theimtf,N/A,https://www.udemy.com/user/mtfinstitute/
Shahriar's Analytical Academy,N/A,N/A,https://linkedin.com/https://www.linkedin.com/in/md-shahriar-7919981a7/,N/A,N/A,https://www.udemy.com/user/statelite-academy/
Prabh Kirpa Classes,https://prabhkirpaclasses.com/,N/A,N/A,N/A,N/A,https://www.udemy.com/user/prabh-kirpa-classes/
Alex Vukadinovic,N/A,N/A,N/A,N/A,N/A,https://www.udemy.com/user/alex-vukadinovic-2/
Dr. Fred Baptiste,N/A,N/A,N/A,N/A,https://www.youtube.com/@mathbyteacademy,https://www.udemy.com/user/fredbaptiste/
Tim Buchalka,https://timbuchalka.com,https://twitter.com/timbuchalka,https://linkedin.com/in/timbuchalka,https://www.facebook.com/tim.buchalka,https://www.youtube.com/TheLearnProgrammingChannel,https://www.udemy.com/user/timbuchalka/
Jose Portilla,https://www.pieriantraining.com,https://twitter.com/JoseMPortilla,https://linkedin.com/in/jmportilla,N/A,N/A,https://www.udemy.com/user/joseportilla/
Elshad Karimov,http://www.appmillers.com,https://twitter.com/karimov_elshad,https://linkedin.com/in/elshad-karimov/,N/A,https://www.youtube.com/channel/UCXywBI8oqxsSL7x3ukB1M6w?view_as=subscriber,https://www.udemy.com/user/elshad-karimov/
Ardit Sulce,http://pythonhow.com,N/A,https://linkedin.com/in/arditsulce,N/A,N/A,https://www.udemy.com/user/adiune/
Adrian Wiech,N/A,N/A,https://linkedin.com/in/adrian-wiech-1b444480/,N/A,N/A,https://www.udemy.com/user/adrian-wiech/
Codestars â€¢ over 2 million students worldwide!,http://www.codestars.com,N/A,N/A,N/A,https://www.youtube.com/channel/UC7Spf4ptyW2YcFlhyyGOPyQ?sub_confirmation=1,https://www.udemy.com/user/codestars/
Dr. Fred Baptiste,N/A,N/A,N/A,N/A,https://www.youtube.com/@mathbyteacademy,https://www.udemy.com/user/fredbaptiste/
in28Minutes Official,https://www.in28minutes.com,https://twitter.com/in28Minutes,https://linkedin.com/in/rangakaranam,https://www.facebook.com/in28Minutes,https://www.youtube.com/user/rithustutorials,https://www.udemy.com/user/in28minutes/
Federico Garay,https://escueladirecta.com/,N/A,https://linkedin.com//in/fedegaray/,N/A,https://www.youtube.com/channel/UCTb2jfffHb3dPDH4f5W8S9w/,https://www.udemy.com/user/fedegaray/
Bharath Thippireddy,http://www.bharaththippireddy.com/2020/05/new-course-devops-tools-and-aws-for.html,https://twitter.com/thippireddyb,https://linkedin.com/profile/view?id=AAIAAAhcC4cBI2_8Orh7x0Oq0RylfrvtlEeT9FM,https://www.facebook.com/Bharath-Thippireddy,https://www.youtube.com/thippireddybharath,https://www.udemy.com/user/bharaththippireddy/
Al Sweigart,http://inventwithpython.com,N/A,N/A,N/A,N/A,https://www.udemy.com/user/al-sweigart/
Colt Steele,https://www.youtube.com/c/ColtSteeleCode,N/A,N/A,N/A,https://www.youtube.com/c/ColtSteeleCode,https://www.udemy.com/user/coltsteele/
Mihai Catalin Teodosiu,http://epicpython.io/,https://twitter.com/mihaipy/,https://linkedin.com//in/tmihaicatalin/,https://www.facebook.com/epicpython.io/,https://www.youtube.com/c/MihaiCatalinTeodosiu,https://www.udemy.com/user/mihaiteodosiu/
